# TESS Program G08036

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 097 targets observed (2 min: 144, 20 s: 7)
21951445,147.4816,-24.514,17.36,G08036
283931138,151.8943,-20.2924,17.6,G08088;G08036
5393020,146.4624,-19.7339,16.62,G08088;G08036;G08079
874388002,149.2235,-30.5604,20.03,G08036
874414044,149.5134,-29.591,20.11,G08036
874479738,149.6367,-27.8309,19.23,G08088;G08036
874521927,153.2586,-27.0047,18.8,G08036
874660964,157.8881,-24.5727,19.71,G08036
875429382,150.9756,-24.2811,19.14,G08036
875703334,149.7651,-21.8153,18.82,G08036
875758474,153.0723,-18.4031,18.58,G08036
875790341,150.5488,-19.427,17.72,G08088;G08036;G08002;G08062
875851504,150.1236,-17.4803,19.74,G08036
875965827,144.9975,-20.5469,18.42,G08036
875971362,145.7178,-19.6148,19.2,G08088;G08036
11418189,145.872,-27.3366,18.49,G08036
189617625,144.0571,-27.9029,16.1,G08036;G08079
19488490,139.515,-30.5965,15.69,G08036;20SECONDTARGET
19825515,140.4571,-29.9634,18.74,G08036
37430543,134.8325,-24.4821,14.95,G08036
38002591,136.6294,-24.9648,17.89,G08036
70506669,139.0183,-26.8978,17.16,G08036
826745599,136.695,-35.4223,19.91,G08036
873489897,146.619,-31.6697,19.72,G08036
874383420,148.2492,-31.0463,17.05,G08036;20SECONDTARGET
874926800,142.4803,-32.017,19.74,G08036
874990171,140.7221,-30.2421,19.72,G08036
875022342,142.3349,-31.3853,19.06,G08036;20SECONDTARGET
875023538,142.4395,-31.0978,19.25,G08036
875033098,143.2691,-30.6648,20.29,G08036
875124365,143.9508,-29.3875,19.64,G08036
875131537,144.4144,-28.9965,19.98,G08036
875296135,145.088,-28.4658,19.54,G08036
875558403,142.2792,-24.0849,16.95,G08036
875561645,142.1097,-23.7934,18.83,G08036
151735351,167.2875,-41.8922,13.8,G08036
151912932,168.4998,-37.6799,16.09,G08036
158291350,162.8611,-38.9886,16.75,G08036
158549099,164.4051,-41.9766,16.88,G08036
178538234,165.0684,-42.677,13.89,G08036;20SECONDTARGET
29932813,166.3728,-40.1191,15.21,G08036;G08079
57261312,171.216,-35.9102,15.18,G08036
82769677,169.9386,-47.877,16.8,G08036
939946794,168.8124,-45.4908,19.8,G08036
940673967,176.6664,-41.6064,19.81,G08036
940800900,172.3814,-42.3947,19.08,G08036
940820442,173.4061,-42.2375,18.78,G08036
940887002,169.9589,-42.2208,18.6,G08036
941062979,173.0026,-38.5844,17.34,G08036
941470759,166.7627,-43.5294,19.26,G08036
941484947,166.456,-42.9563,20.84,G08036
941508333,167.3083,-42.2832,19.44,G08036
941631093,165.2564,-40.4496,18.96,G08036
942107923,166.2895,-38.5643,19.7,G08036
942325023,168.0723,-35.6412,20.16,G08036
942330325,166.791,-35.762,19.72,G08036
102981863,156.0705,-42.898,17.46,G08036
364516534,161.2015,-52.4253,16.07,G08036
448124358,158.2845,-50.614,16.22,G08036
865219605,156.5904,-44.3229,19.83,G08036
870401068,153.7668,-43.2796,18.72,G08036
