TICID,RA,Dec,Tmag,Keywords
873937212,155.1437,-34.0203,17.43,G07092;20SECONDTARGET
873977737,156.6909,-34.2581,18.32,G07092;20SECONDTARGET
874060513,156.96,-31.7954,18.0,G07092;20SECONDTARGET
874156088,153.3448,-33.502,18.2,G07092;20SECONDTARGET
874211460,149.3488,-33.0107,18.54,G07092;20SECONDTARGET
874233559,151.7137,-31.7233,18.83,G07092;20SECONDTARGET
874241343,152.3588,-30.9674,18.55,G07092;20SECONDTARGET
874262556,154.6919,-32.0312,18.89,G07092;20SECONDTARGET
874266286,155.7341,-31.6668,18.32,G07092;20SECONDTARGET
874272620,154.0502,-31.6727,17.09,G07092;20SECONDTARGET
874273503,153.9605,-31.5637,17.7,G07092;20SECONDTARGET
874281866,155.0629,-30.6767,18.62,G07092;20SECONDTARGET
874306048,155.82,-29.7192,18.54,G07092;20SECONDTARGET
874346261,153.9323,-28.9825,17.72,G07092;20SECONDTARGET
874352290,155.0559,-28.2234,18.7,G07092;20SECONDTARGET
874405858,151.1636,-29.7227,18.75,G07092;20SECONDTARGET
